kind	name	category	signature	module	doc
constant	GREY_E	constants	'#222222'	manimlib.constants	
constant	IN	constants	array([ 0.,  0., -1.])	manimlib.constants	
constant	ITALIC	constants	'ITALIC'	manimlib.constants	
constant	LARGE_BUFF	constants	1.0	manimlib.constants	
constant	LEFT	constants	array([-1.,  0.,  0.])	manimlib.constants	
constant	LEFT_SIDE	constants	array([-7.11111111,  0.        ,  0.        ])	manimlib.constants	
constant	LIGHT_BROWN	constants	'#CD853F'	manimlib.constants	
constant	LIGHT_PINK	constants	'#DC75CD'	manimlib.constants	
constant	MANIM_COLORS	constants	['#1C758A', '#29ABCA', '#58C4DD', '#9CDCEB', '#C7E9F1', '#49A88F', '#55C1A7', '#5CD0B3', '#76DDC0', '#ACEAD7', '#699C...	manimlib.constants	
constant	MAROON	constants	'#C55F73'	manimlib.constants	
constant	MAROON_A	constants	'#ECABC1'	manimlib.constants	
constant	MAROON_B	constants	'#EC92AB'	manimlib.constants	
constant	MAROON_C	constants	'#C55F73'	manimlib.constants	
constant	MAROON_D	constants	'#A24D61'	manimlib.constants	
constant	MAROON_E	constants	'#94424F'	manimlib.constants	
constant	MED_LARGE_BUFF	constants	0.5	manimlib.constants	
constant	MED_SMALL_BUFF	constants	0.25	manimlib.constants	
constant	NORMAL	constants	'NORMAL'	manimlib.constants	
constant	NULL_POINTS	constants	array([[0., 0., 0.]])	manimlib.constants	
constant	OBLIQUE	constants	'OBLIQUE'	manimlib.constants	
constant	ORANGE	constants	'#FF862F'	manimlib.constants	
constant	ORIGIN	constants	array([0., 0., 0.])	manimlib.constants	
constant	OUT	constants	array([0., 0., 1.])	manimlib.constants	
constant	PI	constants	3.141592653589793	manimlib.constants	
constant	PINK	constants	'#D147BD'	manimlib.constants	
constant	PURE_BLUE	constants	'#0000FF'	manimlib.constants	
constant	PURE_GREEN	constants	'#00FF00'	manimlib.constants	
constant	PURE_RED	constants	'#FF0000'	manimlib.constants	
constant	PURPLE	constants	'#9A72AC'	manimlib.constants	
constant	PURPLE_A	constants	'#CAA3E8'	manimlib.constants	
constant	PURPLE_B	constants	'#B189C6'	manimlib.constants	
constant	PURPLE_C	constants	'#9A72AC'	manimlib.constants	
constant	PURPLE_D	constants	'#715582'	manimlib.constants	
constant	PURPLE_E	constants	'#644172'	manimlib.constants	
constant	RADIANS	constants	1	manimlib.constants	
constant	RED	constants	'#FC6255'	manimlib.constants	
constant	RED_A	constants	'#F7A1A3'	manimlib.constants	
constant	RED_B	constants	'#FF8080'	manimlib.constants	
constant	RED_C	constants	'#FC6255'	manimlib.constants	
constant	RED_D	constants	'#E65A4C'	manimlib.constants	
constant	RED_E	constants	'#CF5044'	manimlib.constants	
constant	RIGHT	constants	array([1., 0., 0.])	manimlib.constants	
constant	RIGHT_SIDE	constants	array([7.11111111, 0.        , 0.        ])	manimlib.constants	
constant	SMALL_BUFF	constants	0.1	manimlib.constants	
constant	TAU	constants	6.283185307179586	manimlib.constants	
constant	TEAL	constants	'#5CD0B3'	manimlib.constants	
constant	TEAL_A	constants	'#ACEAD7'	manimlib.constants	
constant	TEAL_B	constants	'#76DDC0'	manimlib.constants	
constant	TEAL_C	constants	'#5CD0B3'	manimlib.constants	
constant	TEAL_D	constants	'#55C1A7'	manimlib.constants	
constant	TEAL_E	constants	'#49A88F'	manimlib.constants	
